,Latitude_DD,Longitude_DD,SAFE-pH
5919,28.75194278,-81.90166411,1.0
5933,28.75194278,-81.90166411,1.0
5977,28.7525,-81.9016667,0.0
6001,28.7480325,-81.8748525,0.0
6067,28.7480325,-81.8748525,1.0
6169,28.7525,-81.9016667,1.0
6333,28.75194278,-81.90166411,1.0
6347,28.7525,-81.9016667,0.0
6514,28.7480325,-81.8748525,1.0
6523,28.747222,-81.874861,1.0
6572,28.75029722,-81.92889167,0.0
6597,28.7480325,-81.8748525,1.0
6598,28.6647125,-81.84201,0.0
6599,28.750278,-81.928611,1.0
6604,28.7525,-81.9016667,0.0
6607,28.7525,-81.9016667,1.0
6642,28.7480325,-81.8748525,1.0
6643,28.7480325,-81.8748525,1.0
6685,28.750278,-81.928611,1.0
6730,28.7439511,-81.87301,0.0
6747,28.679167,-81.884778,0.0
6859,28.7525,-81.9016667,0.0
6960,28.7525,-81.9016667,1.0
6977,28.75033056,-81.92891944,1.0
6991,28.747222,-81.874861,0.0
6994,28.7525,-81.9016667,1.0
7201,28.7525,-81.9016667,1.0
7268,28.7525,-81.9016667,1.0
7281,28.679167,-81.884778,0.0
7321,28.75029722,-81.92889167,1.0
7325,28.645,-81.8464,1.0
7328,28.754084,-81.87513,1.0
7424,28.75029722,-81.92889167,1.0
7493,28.75033056,-81.92891944,1.0
7531,28.7525,-81.9016667,1.0
7545,28.64211058,-81.84059736,1.0
7560,28.743889,-81.873056,1.0
7618,28.75196816,-81.90158253,1.0
7621,28.7525,-81.9016667,1.0
7666,28.7480325,-81.8748525,1.0
7706,28.7525,-81.9016667,1.0
7750,28.75196816,-81.90158253,1.0
7788,28.67945609,-81.884452,0.0
7813,28.75029722,-81.92889167,0.0
7823,28.7480325,-81.8748525,1.0
7865,28.747222,-81.874861,0.0
8036,28.74388889,-81.87305556,1.0
8043,28.75194278,-81.90166411,1.0
8078,28.74388889,-81.87305556,1.0
8103,28.7525,-81.9016667,0.0
8154,28.7480325,-81.8748525,1.0
8161,28.743889,-81.873056,1.0
8174,28.62639,-81.84028,0.0
8236,28.743889,-81.873056,1.0
8243,28.74388889,-81.87305556,0.0
8247,28.743889,-81.873056,0.0
8254,28.7480325,-81.8748525,1.0
8262,28.7480325,-81.8748525,1.0
8283,28.74419999,-81.8728,0.0
8303,28.75033056,-81.92891944,1.0
8363,28.7525,-81.9016667,1.0
8437,28.7480325,-81.8748525,1.0
8517,28.75194278,-81.90166411,1.0
8543,28.64211058,-81.84059736,0.0
8643,28.7525,-81.9016667,1.0
8696,28.747222,-81.874861,1.0
8697,28.74388889,-81.87305556,0.0
8752,28.7525,-81.9016667,1.0
8873,28.7480325,-81.8748525,1.0
8880,28.7480325,-81.8748525,0.0
8911,28.7480325,-81.8748525,1.0
8926,28.679167,-81.884778,0.0
8941,28.7480325,-81.8748525,1.0
9169,28.7480325,-81.8748525,1.0
9172,28.7480325,-81.8748525,1.0
9256,28.747222,-81.874861,1.0
9258,28.750278,-81.928611,1.0
9259,28.7525,-81.9016667,1.0
9267,28.64211058,-81.84059736,1.0
9294,28.645,-81.8464,1.0
9326,28.7525,-81.9016667,0.0
9405,28.7480325,-81.8748525,1.0
9492,28.7480325,-81.8748525,1.0
9629,28.64211058,-81.84059736,1.0
9652,28.7480325,-81.8748525,1.0
9677,28.7480325,-81.8748525,1.0
9774,28.7525,-81.9016667,1.0
9790,28.743889,-81.873056,1.0
9810,28.7525,-81.9016667,0.0
9818,28.7480325,-81.8748525,1.0
9830,28.750278,-81.928611,1.0
9872,28.750278,-81.928611,1.0
9877,28.7480325,-81.8748525,1.0
9929,28.7480325,-81.8748525,1.0
9931,28.7480325,-81.8748525,1.0
9943,28.7525,-81.9016667,1.0
9966,28.7525,-81.9016667,1.0
9974,28.7525,-81.9016667,1.0
10022,28.7480325,-81.8748525,0.0
10041,28.64211058,-81.84059736,1.0
10071,28.7525,-81.9016667,1.0
10087,28.645,-81.8464,0.0
10120,28.7480325,-81.8748525,0.0
10206,28.7525,-81.9016667,1.0
10211,28.7480325,-81.8748525,1.0
10262,28.7525,-81.9016667,1.0
10267,28.64211058,-81.84059736,0.0
10284,28.7480325,-81.8748525,1.0
10321,28.7480325,-81.8748525,1.0
10330,28.7480325,-81.8748525,1.0
10331,28.7525,-81.9016667,1.0
10332,28.7541,-81.9006019,1.0
10338,28.7480325,-81.8748525,1.0
10341,28.7480325,-81.8748525,1.0
10368,28.74388889,-81.87305556,1.0
10381,28.7480325,-81.8748525,0.0
10408,28.72027778,-81.88444444,0.0
10467,28.7480325,-81.8748525,1.0
10521,28.750278,-81.928611,1.0
10544,28.7480325,-81.8748525,0.0
10574,28.75196816,-81.90158253,1.0
10657,28.7525,-81.9016667,1.0
10700,28.75196816,-81.90158253,1.0
10752,28.64211058,-81.84059736,1.0
10829,28.7525,-81.9016667,1.0
10830,28.7480325,-81.8748525,0.0
10908,28.7480325,-81.8748525,1.0
10953,28.7480325,-81.8748525,1.0
10979,28.7480325,-81.8748525,1.0
11033,28.747222,-81.874861,0.0
11131,28.7525,-81.9016667,1.0
11135,28.7525,-81.9016667,1.0
11233,28.747222,-81.874861,1.0
11246,28.7525,-81.9016667,1.0
11254,28.7480325,-81.8748525,0.0
11354,28.74419999,-81.8728,1.0
11356,28.7480325,-81.8748525,1.0
11389,28.7525,-81.9016667,1.0
11390,28.743889,-81.873056,0.0
11401,28.7480325,-81.8748525,1.0
11551,28.743889,-81.873056,1.0
11560,28.75033056,-81.92891944,1.0
11570,28.7480325,-81.8748525,1.0
11643,28.74388889,-81.87305556,1.0
11657,28.74419999,-81.8728,1.0
11780,28.64211058,-81.84059736,0.0
11800,28.74419999,-81.8728,0.0
11809,28.7480325,-81.8748525,1.0
11892,28.75033056,-81.92891944,1.0
11964,28.743889,-81.873056,1.0
11981,28.7525,-81.9016667,0.0
12017,28.7480325,-81.8748525,1.0
12029,28.75029722,-81.92889167,0.0
12060,28.743889,-81.873056,1.0
12062,28.679167,-81.884778,0.0
12108,28.7525,-81.9016667,1.0
12111,28.747222,-81.874861,0.0
12120,28.75196816,-81.90158253,1.0
12148,28.75029722,-81.92889167,0.0
12225,28.7525,-81.9016667,1.0
12323,28.750278,-81.928611,1.0
12360,28.64211058,-81.84059736,1.0
12383,28.7480325,-81.8748525,1.0
12546,28.750278,-81.928611,1.0
12554,28.7480325,-81.8748525,1.0
12687,28.75194278,-81.90166411,1.0
12753,28.7480325,-81.8748525,1.0
12807,28.750278,-81.928611,1.0
12848,28.7525,-81.9016667,1.0
12867,28.7480325,-81.8748525,1.0
12872,28.7480325,-81.8748525,1.0
12874,28.7480325,-81.8748525,1.0
12889,28.7480325,-81.8748525,1.0
12909,28.75033056,-81.92891944,1.0
12935,28.75398722,-81.87490917,0.0
13016,28.75029722,-81.92889167,1.0
13017,28.7480325,-81.8748525,0.0
13046,28.75196816,-81.90158253,1.0
13051,28.74388889,-81.87305556,0.0
13059,28.75361,-81.90444,1.0
13062,28.7525,-81.9016667,1.0
13078,28.7480325,-81.8748525,1.0
13092,28.7480325,-81.8748525,1.0
13106,28.7480325,-81.8748525,1.0
13223,28.74388889,-81.87305556,0.0
13278,28.7480325,-81.8748525,1.0
13332,28.7480325,-81.8748525,1.0
13343,28.64625,-81.84342,0.0
13350,28.75361,-81.90444,1.0
13424,28.75194278,-81.90166411,1.0
13437,28.7525,-81.9016667,0.0
13469,28.75029722,-81.92889167,0.0
13473,28.7480325,-81.8748525,1.0
13486,28.7480325,-81.8748525,1.0
13514,28.64211058,-81.84059736,1.0
13549,28.75196816,-81.90158253,1.0
13625,28.750278,-81.928611,1.0
13626,28.75083333,-81.87583333,1.0
13631,28.7525,-81.9016667,1.0
13692,28.7525,-81.9016667,0.0
13892,28.74388889,-81.87305556,0.0
13910,28.64211058,-81.84059736,0.0
13912,28.74419999,-81.8728,0.0
14049,28.747222,-81.874861,1.0
14050,28.7480325,-81.8748525,1.0
14063,28.754084,-81.87513,1.0
14100,28.7480325,-81.8748525,0.0
14114,28.743889,-81.873056,1.0
14157,28.679167,-81.884778,1.0
14185,28.7525,-81.9016667,1.0
14209,28.7480325,-81.8748525,1.0
14235,28.64211058,-81.84059736,0.0
14253,28.7525,-81.9016667,1.0
14271,28.64211058,-81.84059736,0.0
14283,28.7480325,-81.8748525,1.0
14296,28.75033056,-81.92891944,1.0
14383,28.7480325,-81.8748525,1.0
14417,28.7525,-81.9016667,1.0
14427,28.7525,-81.9016667,1.0
14464,28.73724027,-81.8710922,1.0
14490,28.747222,-81.874861,1.0
14491,28.7525,-81.9016667,1.0
14524,28.7480325,-81.8748525,0.0
14528,28.7480325,-81.8748525,1.0
14562,28.7525,-81.9016667,0.0
14566,28.7525,-81.9016667,0.0
14592,28.64211058,-81.84059736,1.0
14643,28.7480325,-81.8748525,1.0
14708,28.7480325,-81.8748525,1.0
14735,28.645,-81.8464,0.0
14760,28.7525,-81.9016667,1.0
14816,28.74397361,-81.87301833,0.0
14829,28.74388889,-81.87305556,0.0
14840,28.7525,-81.9016667,0.0
14978,28.74397361,-81.87301833,0.0
15010,28.7480325,-81.8748525,1.0
15035,28.75194278,-81.90166411,1.0
15045,28.74419999,-81.8728,1.0
15078,28.75029722,-81.92889167,0.0
15093,28.74419999,-81.8728,1.0
15107,28.747222,-81.874861,0.0
15130,28.74419999,-81.8728,0.0
15175,28.74388889,-81.87305556,0.0
15184,28.7525,-81.9016667,1.0
15217,28.7480325,-81.8748525,1.0
15230,28.64211058,-81.84059736,0.0
15236,28.7480325,-81.8748525,0.0
15237,28.7541,-81.9006019,1.0
15242,28.7525,-81.9016667,1.0
15329,28.7480325,-81.8748525,0.0
15358,28.74388889,-81.87305556,1.0
15380,28.7525,-81.9016667,1.0
15390,28.74388889,-81.87305556,1.0
15401,28.74388889,-81.87305556,0.0
15588,28.743889,-81.873056,1.0
15619,28.750278,-81.928611,1.0
15629,28.743889,-81.873056,1.0
15639,28.7525,-81.9016667,1.0
15659,28.743889,-81.873056,1.0
15713,28.7480325,-81.8748525,1.0
15736,28.7519867,-81.9015172,1.0
15738,28.7525,-81.9016667,1.0
15784,28.7480325,-81.8748525,0.0
15796,28.7480325,-81.8748525,1.0
15821,28.7525,-81.9016667,1.0
15867,28.750278,-81.928611,1.0
15878,28.7480325,-81.8748525,0.0
15930,28.7525,-81.9016667,1.0
15937,28.750278,-81.928611,1.0
15938,28.74388889,-81.87305556,0.0
15972,28.74388889,-81.87305556,1.0
15986,28.7525,-81.9016667,1.0
15992,28.750278,-81.928611,1.0
15997,28.74388889,-81.87305556,1.0
16056,28.63274618,-81.85989589,1.0
16113,28.7525,-81.9016667,0.0
16146,28.7480325,-81.8748525,1.0
16206,28.73724027,-81.8710922,0.0
16246,28.7480325,-81.8748525,0.0
16252,28.74419999,-81.8728,0.0
16259,28.7480325,-81.8748525,1.0
16275,28.74419999,-81.8728,1.0
16353,28.7525,-81.9016667,1.0
16363,28.750278,-81.928611,1.0
16377,28.7480325,-81.8748525,1.0
16390,28.7480325,-81.8748525,0.0
16419,28.74419999,-81.8728,1.0
16470,28.7525,-81.9016667,1.0
16530,28.74388889,-81.87305556,0.0
16571,28.7480325,-81.8748525,1.0
16601,28.7525,-81.9016667,1.0
16658,28.7525,-81.9016667,1.0
16729,28.7480325,-81.8748525,1.0
16748,28.75196816,-81.90158253,1.0
16781,28.7480325,-81.8748525,1.0
16786,28.7480325,-81.8748525,1.0
16835,28.74388889,-81.87305556,1.0
16839,28.747222,-81.874861,1.0
16915,28.7525,-81.9016667,0.0
16927,28.7525,-81.9016667,0.0
16957,28.7525,-81.9016667,1.0
17049,28.7525,-81.9016667,1.0
17179,28.679167,-81.884778,1.0
17183,28.7525,-81.9016667,1.0
17247,28.747222,-81.874861,1.0
17266,28.7525,-81.9016667,1.0
17304,28.63274618,-81.85989589,1.0
17510,28.7480325,-81.8748525,1.0
17530,28.75194278,-81.90166411,1.0
17533,28.7480325,-81.8748525,1.0
17590,28.75033056,-81.92891944,1.0
17646,28.7480325,-81.8748525,1.0
17650,28.75072722,-81.87590278,1.0
17716,28.75284697,-81.90119419,1.0
17803,28.7480325,-81.8748525,1.0
17816,28.75033056,-81.92891944,1.0
17845,28.679167,-81.884778,0.0
17907,28.7480325,-81.8748525,1.0
17917,28.64211058,-81.84059736,0.0
17993,28.75033056,-81.92891944,1.0
18062,28.7525,-81.9016667,1.0
18184,28.7525,-81.9016667,1.0
18201,28.7525,-81.9016667,1.0
18215,28.7480325,-81.8748525,1.0
18238,28.64211058,-81.84059736,0.0
18299,28.75029722,-81.92889167,0.0
18331,28.750278,-81.928611,1.0
18342,28.7480325,-81.8748525,1.0
18373,28.7480325,-81.8748525,1.0
18429,28.74419999,-81.8728,1.0
18459,28.7525,-81.9016667,0.0
18503,28.7480325,-81.8748525,1.0
18505,28.74388889,-81.87305556,0.0
18515,28.75033056,-81.92891944,1.0
18548,28.679167,-81.884778,0.0
18552,28.74388889,-81.87305556,1.0
18642,28.679167,-81.884778,1.0
18693,28.7525,-81.9016667,1.0
